Rule ID;;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Access to parallel computing;1;;Production use case;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Dataset balance;1;Ratio positive to negative targets;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG (Gradient based);SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;Fabolas;BOHB;HB-LCNet;;18;;;;
;;0,0370;27;0,0323;31;0,1429;7;0,1429;7;0,1429;7;0,0152;66;;0,0175;57;;0,0145;69;0,0286;35;0,0119;84;0,0086;116;;0,0085;117;0,0323;31;0,0270;37;0,0270;37;0,0082;122;0,0086;116;0,0078;128;1,0000;1;0,2000;5;;;105;0,0114;88;0,0120;83;0,0526;19;0,0588;17;0,0500;20;0,0086;116;0,0086;116;0,0105;95;;12,47;7,61;2,58;8,13;6,31;1,78;24,50;17,95;22,34;2,23;9,34;3,19;3,83;10,98;5,35;4,23;19,22;2,94;;;;;;
11;;high;0,03704;high;0,03226;;;;;;;;;;Predictive Quality;0,01754;;>100;0,01449;;;;;1.0:86400;0,00862;;;;no;0,03226;no;0,02703;;;;;;;[discrete, ordinal, nominal];0,00781;;;no;0,20000;;;;;;;;;;;;;;;;;;;;11;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;
12;;high;0,03704;high;0,03226;;;;;;;;;;Predictive Quality;0,01754;;<100;0,01449;;;;;1.0:86400;0,00862;;;;no;0,03226;no;0,02703;;;;;;;;;;;no;0,20000;;;;;;;;;;;;;;;;;;;;12;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;
13;;high;0,03704;high;0,03226;;;;;;;;;;Predictive Quality;0,01754;;;;;;;;1.0:86400;0,00862;;;;no;0,03226;yes;0,02703;;;>10;0,00820;;;[discrete, ordinal, nominal];0,00781;;;no;0,20000;;;;;;;;;;;;;;;;;;;;13;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;
14;;high;0,03704;high;0,03226;;;;;;;;;;Predictive Quality;0,01754;;;;;;;;1.0:86400;0,00862;;;;no;0,03226;yes;0,02703;;;1.0:10;0,00820;;;[continuous];0,00781;;;no;0,20000;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;1,00000;;;;;;;;;;;;;;;
15;;;;;;;;;;;;yes;0,01515;;Predictive Quality;0,01754;;<150;0,01449;;;8;0,01190;1.0:100;0,00862;;Random Forest;0,00855;yes;0,03226;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016949;0,05882;;;Offline;0,00862;Binary Classification;0,00862;Prediction of Part Failure;0,01053;15;1,00000;;;;;;;;;;;;;;;;;;;;Hanno Experiment;;;
16;;;;;;;;;;;;yes;0,01515;;Predictive Quality;0,01754;;<150;0,01449;;;8;0,01190;100.0:4000;0,00862;;Random Forest;0,00855;yes;0,03226;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016950;0,05882;;;Offline;0,00862;Binary Classification;0,00862;Prediction of Part Failure;0,01053;16;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;;;
17;;;;;;;;;;;;no;0,01515;;Predictive Quality;0,01754;;<150;0,01449;;;1;0,01190;1.0:100;0,00862;;Random Forest;0,00855;yes;0,03226;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016951;0,05882;;;Offline;0,00862;Binary Classification;0,00862;Prediction of Part Failure;0,01053;17;1,00000;;;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;no;0,01515;;Predictive Quality;0,01754;;<150;0,01449;;;1;0,01190;100.0:4000;0,00862;;Random Forest;0,00855;yes;0,03226;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016952;0,05882;;;Offline;0,00862;Binary Classification;0,00862;Prediction of Part Failure;0,01053;18;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;;;
19;;;;;;;;;;;;yes;0,01515;;Predictive Quality;0,01754;;<150;0,01449;;;8;0,01190;1.0:100;0,00862;;Decision Tree;0,00855;yes;0,03226;yes;0,02703;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016953;0,05882;;;Offline;0,00862;Binary Classification;0,00862;Prediction of Part Failure;0,01053;19;;;;1,00000;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;no;0,01515;;Predictive Quality;0,01754;;<150;0,01449;;;1;0,01190;1.0:100;0,00862;;Decision Tree;0,00855;yes;0,03226;yes;0,02703;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016954;0,05882;;;Offline;0,00862;Binary Classification;0,00862;Prediction of Part Failure;0,01053;20;;;;1,00000;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;yes;0,01515;;Predictive Quality;0,01754;;<150;0,01449;;;8;0,01190;1.0:500;0,00862;;Support Vector Machine;0,00855;no;0,03226;yes;0,02703;;;4.0:10;0,00820;yes;0,00862;[continuous, nominal];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016955;0,05882;;;Offline;0,00862;Binary Classification;0,00862;Prediction of Part Failure;0,01053;21;;;;;;;;;;;;;;0,50000;;;0,50000;;;;;;;
22;;;;;;;;;;;;yes;0,01515;;Predictive Quality;0,01754;;<150;0,01449;;;8;0,01190;>500;0,00862;;Support Vector Machine;0,00855;no;0,03226;yes;0,02703;;;4.0:10;0,00820;yes;0,00862;[continuous, nominal];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016956;0,05882;;;Offline;0,00862;Binary Classification;0,00862;Prediction of Part Failure;0,01053;22;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;;;
23;;;;;;;;;;;;yes;0,01515;;Predictive Quality;0,01754;;<600;0,01449;;;8;0,01190;1.0:6000;0,00862;;XGBoost;0,00855;yes;0,03226;yes;0,02703;;;4.0:10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Tabular Data;0,00952;<1000;0,01136;;;imbalanced;0,05263;;;;;Offline;0,00862;Binary Classification;0,00862;Prediction of Part Failure;0,01053;23;;;;;;;;;;;;;;0,50000;;;0,50000;;;;;;;
24;;;;;;;;;;;;yes;0,01515;;Predictive Quality;0,01754;;<600;0,01449;;;8;0,01190;1.0:7000;0,00862;;Random Forest;0,00855;yes;0,03226;yes;0,02703;;;4.0:10;0,00820;no;0,00862;[continuous];0,00781;;;;;;Tabular Data;0,00952;<1000;0,01136;;;imbalanced;0,05263;;;;;Offline;0,00862;Binary Classification;0,00862;Prediction of Part Failure;0,01053;24;;;;;;;;;;;;;;0,50000;;;0,50000;;;;;;;
25;;;;low;0,03226;;;;;;;;;;Predictive Maintenance;0,01754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;1,00000;;;;;;;;;;;;;;;;;;;Lucas Generic;;;
26;;;;[medium, high];0,03226;;;;;;;;;;Predictive Maintenance;0,01754;;;;<10;0,02857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;0,50000;;0,25000;0,25000;;;;;;;;;;;;;;;;;;;
27;;;;[medium, high];0,03226;;;;;;;;;;Predictive Maintenance;0,01754;;;;>100;0,02857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;1,00000;;;;;;;
28;;;;[medium, high];0,03226;;;;;;;yes;0,01515;;Predictive Maintenance;0,01754;;;;10.0:100;0,02857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;;
29;;;;[medium, high];0,03226;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;>200;0,01449;10.0:100;0,02857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;0,50000;;0,25000;0,25000;;;;;;;;;;;;;;;;;;;
30;;;;[medium, high];0,03226;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;<200;0,01449;10.0:100;0,02857;;;;;;;;;;;;;;>10;0,00820;yes;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;1,00000;;;;;;;;;;;;;;;;
31;;;;[medium, high];0,03226;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;<200;0,01449;10.0:100;0,02857;;;;;;;;;;;;;;>10;0,00820;no;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;1,00000;;;;;;;;;;;;;;;;;
32;;;;[medium, high];0,03226;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;<200;0,01449;10.0:100;0,02857;;;;;;;;;;;;;;1.0:10;0,00820;;;[continuous];0,00781;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;1,00000;;;;;;;;;;;;;;;
33;;;;[medium, high];0,03226;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;<200;0,01449;10.0:100;0,02857;;;;;;;;;;;;;;1.0:10;0,00820;no;0,00862;[continuous, discrete, ordinal, nominal];0,00781;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;1,00000;;;;;;;;;;;;;;;;;
34;;;;[medium, high];0,03226;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;<200;0,01449;10.0:100;0,02857;;;;;;;;;;;;;;1.0:10;0,00820;yes;0,00862;;;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;1,00000;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;;;;;1;0,01190;1.0:40;0,00862;;Random Forest;;;;;;;;4.0:10;0,00820;no;0,00862;[discrete, nominal];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016949;0,05882;;;Offline;;Binary Classification;0,00862;Prediction of Part Failure;;35;1,00000;;;;;;;;;;;;;;;;;;;;Lucas Experiment;;;
36;;;;;;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;;;;;1;0,01190;40.0:700;0,00862;;Random Forest;;;;;;;;4.0:10;0,00820;no;0,00862;[discrete, nominal];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016950;0,05882;;;Offline;;Binary Classification;0,00862;Prediction of Part Failure;;36;;0,25000;;;;;0,25000;0,25000;0,25000;;;;;;;;;;;;;;;
37;;;;;;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;;;;;1;0,01190;700.0:2000;0,00862;;Random Forest;;;;;;;;4.0:10;0,00820;no;0,00862;[discrete, nominal];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016951;0,05882;;;Offline;;Binary Classification;0,00862;Prediction of Part Failure;;37;;;;;;;1,00000;;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;;;;;1;0,01190;1.0:1000;0,00862;;Support Vector Machine;;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, nominal];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016952;0,05882;;;Offline;;Binary Classification;0,00862;Prediction of Part Failure;;38;1,00000;;;;;;;;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;no;0,01515;;Predictive Maintenance;0,01754;;;;;;1;0,01190;1000.0:10000;0,00862;;Support Vector Machine;;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, nominal];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;imbalanced;0,05263;0.016953;0,05882;;;Offline;;Binary Classification;0,00862;Prediction of Part Failure;;39;;;;;;;;;;;;;;;;;;;;;;;;
